Date,Open,High,Low,Close,Volume
16-06-2008,227.0,230.0,225.02,228.48,863000.0
17-06-2008,229.6,240.94,229.6,238.59,1103750.0
18-06-2008,238.0,240.6,230.05,230.98,975500.0
19-06-2008,229.0,229.3,218.74,222.03,961250.0
20-06-2008,224.0,224.0,215.4,217.43,1235500.0
23-06-2008,214.42,223.4,214.42,218.68,1070000.0
24-06-2008,222.0,222.0,208.02,210.91,1034500.0
25-06-2008,206.6,215.4,202.55,214.47,1133000.0
26-06-2008,216.0,219.0,208.45,211.87,1336750.0
27-06-2008,200.2,201.64,195.02,199.69,1211750.0
30-06-2008,197.1,198.98,194.62,196.45,1380750.0
01-07-2008,197.2,197.2,186.02,189.26,1879000.0
02-07-2008,191.4,209.38,187.22,204.54,1424500.0
03-07-2008,201.8,201.8,186.8,194.3,1100000.0
04-07-2008,195.0,200.8,195.0,199.62,1369000.0
07-07-2008,199.96,208.8,198.2,199.86,1691750.0
08-07-2008,197.45,203.34,190.01,198.23,1891000.0
09-07-2008,205.0,212.96,203.01,211.5,2566250.0
10-07-2008,208.0,215.1,206.6,211.12,1687250.0
11-07-2008,212.0,214.7,206.83,213.3,1569250.0
14-07-2008,210.2,210.2,202.4,206.24,1603750.0
15-07-2008,201.65,201.65,182.45,183.67,2536750.0
16-07-2008,185.05,187.8,178.32,181.05,1521750.0
17-07-2008,187.0,196.0,187.0,191.48,1558000.0
18-07-2008,195.75,208.94,195.75,206.9,2451750.0
21-07-2008,209.0,218.03,209.0,216.67,1188250.0
22-07-2008,218.0,235.98,216.0,221.33,2127500.0
23-07-2008,233.4,244.74,233.0,241.98,2013000.0
24-07-2008,247.0,251.38,238.0,244.3,2006500.0
25-07-2008,238.66,238.66,224.8,225.88,1713750.0
28-07-2008,228.0,230.64,221.92,225.93,1963500.0
29-07-2008,217.82,223.4,201.23,206.84,2021000.0
30-07-2008,211.8,220.94,210.6,219.2,1312250.0
31-07-2008,219.0,226.6,212.0,220.34,1183750.0
01-08-2008,213.95,226.6,210.25,223.76,2126250.0
04-08-2008,223.8,227.7,220.3,223.12,1155500.0
05-08-2008,223.6,240.95,221.42,238.75,2286500.0
06-08-2008,244.18,259.4,241.64,243.96,2874250.0
07-08-2008,242.0,253.98,242.0,251.37,1703250.0
08-08-2008,249.4,260.76,245.86,257.45,2155000.0
11-08-2008,260.42,267.59,259.6,262.75,1882750.0
12-08-2008,265.0,265.0,252.12,254.02,1660750.0
13-08-2008,249.04,250.68,242.2,245.09,1497000.0
14-08-2008,243.8,243.8,234.2,235.74,1431250.0
18-08-2008,233.5,245.55,233.5,241.08,1545250.0
19-08-2008,236.22,242.88,236.22,241.69,1167000.0
20-08-2008,242.4,248.75,240.4,246.68,1309000.0
21-08-2008,247.63,248.41,232.6,233.37,1494000.0
22-08-2008,232.02,238.98,230.02,238.1,1268000.0
25-08-2008,243.8,247.78,241.1,241.92,1876250.0
26-08-2008,239.2,252.18,239.0,251.19,2029000.0
27-08-2008,252.0,253.6,245.22,246.34,1331750.0
28-08-2008,247.2,249.0,240.4,241.98,1908250.0
29-08-2008,255.6,257.8,252.0,256.82,2044750.0
01-09-2008,255.54,262.88,250.73,260.54,1415750.0
02-09-2008,263.1,276.98,257.6,268.87,3500750.0
04-09-2008,267.0,267.0,257.42,261.97,3230250.0
05-09-2008,254.89,256.4,249.6,251.54,2262500.0
08-09-2008,260.0,266.0,260.0,262.15,1980000.0
09-09-2008,260.2,264.35,258.44,260.4,1953750.0
10-09-2008,253.6,258.54,251.6,256.55,1955500.0
11-09-2008,253.42,258.16,250.9,252.34,1783750.0
12-09-2008,254.0,255.0,245.86,250.15,1922500.0
15-09-2008,244.0,244.36,232.5,242.06,2422250.0
16-09-2008,226.02,249.38,226.02,247.01,2261000.0
17-09-2008,247.0,250.4,234.0,238.15,2843250.0
18-09-2008,228.22,247.62,219.0,245.63,3113750.0
19-09-2008,259.8,261.76,252.0,260.37,2328000.0
22-09-2008,261.1,264.64,257.05,260.66,1525500.0
23-09-2008,256.23,259.0,246.02,248.28,1495500.0
24-09-2008,251.4,259.74,250.6,256.47,1462750.0
25-09-2008,255.8,261.0,253.26,259.44,1888750.0
26-09-2008,258.22,259.18,248.2,250.16,2082000.0
29-09-2008,249.44,250.76,238.01,241.06,2355250.0
30-09-2008,232.0,249.99,228.01,246.85,2159750.0
01-10-2008,249.58,261.46,243.0,259.39,2004750.0
03-10-2008,255.0,261.8,253.6,255.89,1816750.0
06-10-2008,253.18,253.6,240.2,242.24,1931250.0
07-10-2008,248.0,249.6,220.8,227.17,3819000.0
08-10-2008,220.0,226.19,196.47,222.37,3101000.0
10-10-2008,208.0,217.6,196.0,209.89,3027250.0
13-10-2008,215.0,239.18,211.2,236.98,2175250.0
14-10-2008,243.0,249.8,226.6,228.93,2600000.0
15-10-2008,225.54,231.9,222.12,227.83,2123000.0
16-10-2008,213.8,226.25,208.4,220.15,3573250.0
17-10-2008,222.2,226.4,201.44,205.66,2891250.0
20-10-2008,209.02,225.0,207.4,217.41,2544250.0
21-10-2008,224.0,224.78,215.65,218.58,1743000.0
22-10-2008,203.8,220.9,203.8,209.7,2265000.0
23-10-2008,201.4,220.0,199.2,212.26,2770250.0
24-10-2008,208.0,208.0,183.6,194.54,4421250.0
27-10-2008,193.32,193.32,171.0,185.86,3146500.0
28-10-2008,201.74,201.74,188.6,192.73,428500.0
29-10-2008,197.8,198.6,189.5,191.89,2182500.0
31-10-2008,193.8,213.77,193.8,205.56,3586000.0
03-11-2008,211.97,220.34,209.07,214.7,1843500.0
